chromosome	start	stop	gap_length	gap_type	linkage_evidence
chr1	1	10000	10000	telomere	na
chr1	177418	227417	50000	within_scaffold	clone_contig
chr1	267720	317719	50000	between_scaffolds	na
chr1	471369	521368	50000	between_scaffolds	na
chr1	2634221	2684220	50000	within_scaffold	clone_contig
chr1	3845269	3995268	150000	between_scaffolds	na
chr1	13052999	13102998	50000	within_scaffold	clone_contig
chr1	13219913	13319912	100000	between_scaffolds	na
chr1	13557163	13607162	50000	within_scaffold	clone_contig
chr1	17125659	17175658	50000	within_scaffold	clone_contig
chr1	29878083	30028082	150000	between_scaffolds	na
chr1	103863907	103913906	50000	within_scaffold	clone_contig
chr1	120697157	120747156	50000	within_scaffold	clone_contig
chr1	120936696	121086695	150000	between_scaffolds	na
chr1	121485435	121535434	50000	between_scaffolds	na
chr1	121535435	124535434	3000000	centromere	na
chr1	124535435	142535434	18000000	heterochromatin	na
chr1	142731023	142781022	50000	within_scaffold	clone_contig
chr1	142967762	143117761	150000	between_scaffolds	na
chr1	143292817	143342816	50000	within_scaffold	clone_contig
chr1	143544526	143644525	100000	between_scaffolds	na
chr1	143771003	143871002	100000	between_scaffolds	na
chr1	144095784	144145783	50000	between_scaffolds	na
chr1	144224482	144274481	50000	between_scaffolds	na
chr1	144401745	144451744	50000	within_scaffold	clone_contig
chr1	144622414	144672413	50000	between_scaffolds	na
chr1	144710725	144810724	100000	within_scaffold	clone_contig
chr1	145833119	145883118	50000	within_scaffold	clone_contig
chr1	146164651	146214650	50000	within_scaffold	clone_contig
chr1	146253300	146303299	50000	within_scaffold	clone_contig
chr1	148026039	148176038	150000	between_scaffolds	na
chr1	148361359	148511358	150000	between_scaffolds	na
chr1	148684148	148734147	50000	within_scaffold	clone_contig
chr1	148954461	149004460	50000	within_scaffold	clone_contig
chr1	149459646	149509645	50000	within_scaffold	clone_contig
chr1	205922708	206072707	150000	between_scaffolds	na
chr1	206332222	206482221	150000	between_scaffolds	na
chr1	223747847	223797846	50000	within_scaffold	clone_contig
chr1	235192212	235242211	50000	within_scaffold	clone_contig
chr1	248908211	249058210	150000	between_scaffolds	na
chr1	249240622	249250621	10000	telomere	na
chr2	1	10000	10000	telomere	na
chr2	3529313	3579312	50000	between_scaffolds	na
chr2	5018789	5118788	100000	between_scaffolds	na
chr2	16279725	16329724	50000	between_scaffolds	na
chr2	21153114	21178113	25000	between_scaffolds	na
chr2	31725940	31726790	851	unknown	inferred_from_sequence
chr2	33092198	33093197	1000	unknown	inferred_from_sequence
chr2	33141693	33142692	1000	unknown	inferred_from_sequence
chr2	87668207	87718206	50000	within_scaffold	clone_contig
chr2	89630437	89830436	200000	between_scaffolds	na
chr2	90321526	90371525	50000	within_scaffold	clone_contig
chr2	90545104	91545103	1000000	heterochromatin	na
chr2	91545104	91595103	50000	between_scaffolds	na
chr2	92326172	95326171	3000000	centromere	na
chr2	110109338	110251337	142000	between_scaffolds	na
chr2	149690583	149790582	100000	between_scaffolds	na
chr2	234003742	234053741	50000	between_scaffolds	na
chr2	239801979	239831978	30000	between_scaffolds	na
chr2	240784133	240809132	25000	between_scaffolds	na
chr2	243102477	243152476	50000	within_scaffold	clone_contig
chr2	243189374	243199373	10000	telomere	na
chr3	1	10000	10000	telomere	na
chr3	10001	60000	50000	between_scaffolds	na
chr3	66170271	66270270	100000	between_scaffolds	na
chr3	90504855	93504854	3000000	centromere	na
chr3	194041962	194047251	5290	between_scaffolds	na
chr3	197962431	198012430	50000	between_scaffolds	na
chr3	198012431	198022430	10000	telomere	na
chr4	1	10000	10000	telomere	na
chr4	1423147	1478646	55500	between_scaffolds	na
chr4	8799204	8818203	19000	between_scaffolds	na
chr4	9274643	9324642	50000	within_scaffold	clone_contig
chr4	31820918	31837417	16500	between_scaffolds	na
chr4	32834639	32840638	6000	between_scaffolds	na
chr4	40296397	40297096	700	between_scaffolds	na
chr4	49338942	49488941	150000	between_scaffolds	na
chr4	49660118	52660117	3000000	centromere	na
chr4	59739334	59789333	50000	between_scaffolds	na
chr4	75427380	75452279	24900	between_scaffolds	na
chr4	191044277	191144276	100000	between_scaffolds	na
chr4	191144277	191154276	10000	telomere	na
chr5	1	10000	10000	telomere	na
chr5	17530658	17580657	50000	within_scaffold	clone_contig
chr5	46405642	49405641	3000000	centromere	na
chr5	91636129	91686128	50000	between_scaffolds	na
chr5	138787074	138837073	50000	between_scaffolds	na
chr5	155138728	155188727	50000	between_scaffolds	na
chr5	180905261	180915260	10000	telomere	na
chr6	1	10000	10000	telomere	na
chr6	10001	60000	50000	between_scaffolds	na
chr6	58087660	58137659	50000	within_scaffold	clone_contig
chr6	58780167	58830166	50000	between_scaffolds	na
chr6	58830167	61830166	3000000	centromere	na
chr6	61830167	61880166	50000	between_scaffolds	na
chr6	62128590	62178589	50000	within_scaffold	clone_contig
chr6	95680544	95830543	150000	between_scaffolds	na
chr6	157559468	157609467	50000	within_scaffold	clone_contig
chr6	157641301	157691300	50000	within_scaffold	clone_contig
chr6	167942074	168042073	100000	within_scaffold	clone_contig
chr6	170279973	170329972	50000	within_scaffold	clone_contig
chr6	171055068	171105067	50000	between_scaffolds	na
chr6	171105068	171115067	10000	telomere	na
chr7	1	10000	10000	telomere	na
chr7	232485	282484	50000	within_scaffold	clone_contig
chr7	50370632	50410631	40000	between_scaffolds	na
chr7	58054332	61054331	3000000	centromere	na
chr7	61310514	61360513	50000	heterochromatin	na
chr7	61460466	61510465	50000	within_scaffold	clone_contig
chr7	61677021	61727020	50000	within_scaffold	clone_contig
chr7	61917158	61967157	50000	heterochromatin	na
chr7	74715725	74765724	50000	within_scaffold	clone_contig
chr7	100556044	100606043	50000	within_scaffold	clone_contig
chr7	130154524	130254523	100000	within_scaffold	clone_contig
chr7	139379378	139404377	25000	between_scaffolds	na
chr7	142048196	142098195	50000	within_scaffold	clone_contig
chr7	142276198	142326197	50000	within_scaffold	clone_contig
chr7	143347898	143397897	50000	within_scaffold	clone_contig
chr7	154270635	154370634	100000	between_scaffolds	na
chr7	159128664	159138663	10000	telomere	na
chr8	1	10000	10000	telomere	na
chr8	7474650	7524649	50000	between_scaffolds	na
chr8	12091855	12141854	50000	between_scaffolds	na
chr8	43838888	46838887	3000000	centromere	na
chr8	48130500	48135599	5100	between_scaffolds	na
chr8	86576452	86726451	150000	between_scaffolds	na
chr8	142766516	142816515	50000	within_scaffold	clone_contig
chr8	145332589	145432588	100000	between_scaffolds	na
chr8	146304023	146354022	50000	between_scaffolds	na
chr8	146354023	146364022	10000	telomere	na
chr9	1	10000	10000	telomere	na
chr9	39663687	39713686	50000	within_scaffold	clone_contig
chr9	39974797	40024796	50000	between_scaffolds	na
chr9	40233030	40283029	50000	within_scaffold	clone_contig
chr9	40425835	40475834	50000	between_scaffolds	na
chr9	40940342	40990341	50000	between_scaffolds	na
chr9	41143215	41193214	50000	within_scaffold	clone_contig
chr9	41365794	41415793	50000	between_scaffolds	na
chr9	42613956	42663955	50000	between_scaffolds	na
chr9	43213699	43313698	100000	between_scaffolds	na
chr9	43946570	43996569	50000	within_scaffold	clone_contig
chr9	44676647	44726646	50000	within_scaffold	clone_contig
chr9	44908294	44958293	50000	within_scaffold	clone_contig
chr9	45250204	45350203	100000	between_scaffolds	na
chr9	45815522	45865521	50000	between_scaffolds	na
chr9	46216431	46266430	50000	within_scaffold	clone_contig
chr9	46461040	46561039	100000	between_scaffolds	na
chr9	47060134	47160133	100000	between_scaffolds	na
chr9	47317680	47367679	50000	between_scaffolds	na
chr9	47367680	50367679	3000000	centromere	na
chr9	50367680	65367679	15000000	heterochromatin	na
chr9	65367680	65467679	100000	between_scaffolds	na
chr9	65918361	65968360	50000	between_scaffolds	na
chr9	66192216	66242215	50000	within_scaffold	clone_contig
chr9	66404657	66454656	50000	within_scaffold	clone_contig
chr9	66614196	66664195	50000	within_scaffold	clone_contig
chr9	66863344	66913343	50000	within_scaffold	clone_contig
chr9	67107835	67207834	100000	between_scaffolds	na
chr9	67366297	67516296	150000	between_scaffolds	na
chr9	67987999	68137998	150000	between_scaffolds	na
chr9	68514182	68664181	150000	between_scaffolds	na
chr9	68838947	68988946	150000	between_scaffolds	na
chr9	69278386	69328385	50000	within_scaffold	clone_contig
chr9	70010543	70060542	50000	within_scaffold	clone_contig
chr9	70218730	70318729	100000	between_scaffolds	na
chr9	70506536	70556535	50000	between_scaffolds	na
chr9	70735469	70835468	100000	between_scaffolds	na
chr9	92343417	92443416	100000	within_scaffold	clone_contig
chr9	92528797	92678796	150000	within_scaffold	clone_contig
chr9	133073061	133223060	150000	between_scaffolds	na
chr9	137041194	137091193	50000	between_scaffolds	na
chr9	139166998	139216997	50000	between_scaffolds	na
chr9	141153432	141203431	50000	between_scaffolds	na
chr9	141203432	141213431	10000	telomere	na
chr10	1	10000	10000	telomere	na
chr10	10001	60000	50000	between_scaffolds	na
chr10	17974676	18024675	50000	within_scaffold	clone_contig
chr10	38818836	38868835	50000	within_scaffold	clone_contig
chr10	39154936	39254935	100000	between_scaffolds	na
chr10	39254936	42254935	3000000	centromere	na
chr10	42254936	42354935	100000	between_scaffolds	na
chr10	42546688	42596687	50000	within_scaffold	clone_contig
chr10	46426965	46476964	50000	between_scaffolds	na
chr10	47429170	47529169	100000	between_scaffolds	na
chr10	47792477	47892476	100000	between_scaffolds	na
chr10	48055708	48105707	50000	between_scaffolds	na
chr10	49095537	49195536	100000	between_scaffolds	na
chr10	51137411	51187410	50000	within_scaffold	clone_contig
chr10	51398846	51448845	50000	within_scaffold	clone_contig
chr10	125869473	125919472	50000	within_scaffold	clone_contig
chr10	128616070	128766069	150000	between_scaffolds	na
chr10	133381405	133431404	50000	within_scaffold	clone_contig
chr10	133677528	133727527	50000	within_scaffold	clone_contig
chr10	135524748	135534747	10000	telomere	na
chr11	1	10000	10000	telomere	na
chr11	10001	60000	50000	between_scaffolds	na
chr11	1162760	1212759	50000	within_scaffold	clone_contig
chr11	50783854	50833853	50000	between_scaffolds	na
chr11	50833854	51040853	207000	heterochromatin	na
chr11	51040854	51090853	50000	between_scaffolds	na
chr11	51594206	51644205	50000	between_scaffolds	na
chr11	51644206	54644205	3000000	centromere	na
chr11	54644206	54694205	50000	between_scaffolds	na
chr11	69089802	69139801	50000	within_scaffold	clone_contig
chr11	69724696	69774695	50000	within_scaffold	clone_contig
chr11	87688379	87738378	50000	within_scaffold	clone_contig
chr11	96287585	96437584	150000	between_scaffolds	na
chr11	134946517	134996516	50000	between_scaffolds	na
chr11	134996517	135006516	10000	telomere	na
chr12	1	10000	10000	telomere	na
chr12	10001	60000	50000	between_scaffolds	na
chr12	95740	145739	50000	within_scaffold	clone_contig
chr12	7189877	7239876	50000	between_scaffolds	na
chr12	34856695	37856694	3000000	centromere	na
chr12	109373471	109423470	50000	between_scaffolds	na
chr12	121965037	121965236	200	unknown	unspecified
chr12	122530624	122580623	50000	between_scaffolds	na
chr12	123928081	123928280	200	unknown	unspecified
chr12	123960722	123960821	100	unknown	unspecified
chr12	132706993	132806992	100000	between_scaffolds	na
chr12	133841896	133851895	10000	telomere	na
chr13	1	10000	10000	telomere	na
chr13	10001	16000000	15990000	short_arm	na
chr13	16000001	19000000	3000000	centromere	na
chr13	19000001	19020000	20000	heterochromatin	na
chr13	86760325	86910324	150000	between_scaffolds	na
chr13	112353995	112503994	150000	between_scaffolds	na
chr13	114325994	114425993	100000	between_scaffolds	na
chr13	114639949	114739948	100000	between_scaffolds	na
chr13	115109879	115159878	50000	between_scaffolds	na
chr13	115159879	115169878	10000	telomere	na
chr14	1	10000	10000	telomere	na
chr14	10001	16000000	15990000	short_arm	na
chr14	16000001	19000000	3000000	centromere	na
chr14	107289541	107339540	50000	between_scaffolds	na
chr14	107339541	107349540	10000	telomere	na
chr15	1	10000	10000	telomere	na
chr15	10001	17000000	16990000	short_arm	na
chr15	17000001	20000000	3000000	centromere	na
chr15	20894634	20935075	40442	within_scaffold	clone_contig
chr15	21398820	21885000	486181	within_scaffold	clone_contig
chr15	22212115	22262114	50000	between_scaffolds	na
chr15	22596194	22646193	50000	between_scaffolds	na
chr15	23514854	23564853	50000	between_scaffolds	na
chr15	29159444	29209443	50000	between_scaffolds	na
chr15	82829646	82879645	50000	between_scaffolds	na
chr15	84984474	85034473	50000	between_scaffolds	na
chr15	102521393	102531392	10000	telomere	na
chr16	1	10000	10000	telomere	na
chr16	10001	60000	50000	between_scaffolds	na
chr16	8636922	8686921	50000	within_scaffold	clone_contig
chr16	34023151	34173150	150000	between_scaffolds	na
chr16	35285802	35335801	50000	between_scaffolds	na
chr16	35335802	38335801	3000000	centromere	na
chr16	38335802	46335801	8000000	heterochromatin	na
chr16	46335802	46385801	50000	between_scaffolds	na
chr16	88389384	88439383	50000	between_scaffolds	na
chr16	90294754	90344753	50000	between_scaffolds	na
chr16	90344754	90354753	10000	telomere	na
chr17	296627	396626	100000	between_scaffolds	na
chr17	21566609	21666608	100000	between_scaffolds	na
chr17	22263007	25263006	3000000	centromere	na
chr17	34675849	34725848	50000	between_scaffolds	na
chr17	62410761	62460760	50000	within_scaffold	clone_contig
chr17	77546462	77596461	50000	within_scaffold	clone_contig
chr17	79709050	79759049	50000	between_scaffolds	na
chr18	1	10000	10000	telomere	na
chr18	15410899	15460898	50000	between_scaffolds	na
chr18	15460899	18460898	3000000	centromere	na
chr18	18460899	18510898	50000	between_scaffolds	na
chr18	52059137	52209136	150000	between_scaffolds	na
chr18	72283354	72333353	50000	within_scaffold	clone_contig
chr18	75721821	75771820	50000	within_scaffold	clone_contig
chr18	78017249	78067248	50000	between_scaffolds	na
chr18	78067249	78077248	10000	telomere	na
chr19	1	10000	10000	telomere	na
chr19	10001	60000	50000	between_scaffolds	na
chr19	7346005	7396004	50000	between_scaffolds	na
chr19	8687199	8737198	50000	between_scaffolds	na
chr19	20523416	20573415	50000	within_scaffold	clone_contig
chr19	24631783	24681782	50000	heterochromatin	na
chr19	24681783	27681782	3000000	centromere	na
chr19	27681783	27731782	50000	heterochromatin	na
chr19	59118984	59128983	10000	telomere	na
chr20	1	10000	10000	telomere	na
chr20	10001	60000	50000	between_scaffolds	na
chr20	26319570	26369569	50000	between_scaffolds	na
chr20	26369570	29369569	3000000	centromere	na
chr20	29369570	29419569	50000	between_scaffolds	na
chr20	29653909	29803908	150000	between_scaffolds	na
chr20	34897086	34947085	50000	within_scaffold	clone_contig
chr20	61091438	61141437	50000	within_scaffold	clone_contig
chr20	61213370	61263369	50000	between_scaffolds	na
chr20	62965521	63015520	50000	between_scaffolds	na
chr20	63015521	63025520	10000	telomere	na
chr21	1	10000	10000	telomere	na
chr21	10001	5211193	5201193	short_arm	na
chr21	5211194	9411193	4200000	between_scaffolds	na
chr21	9595549	9645548	50000	between_scaffolds	na
chr21	9775438	9825437	50000	between_scaffolds	na
chr21	10034921	10084920	50000	between_scaffolds	na
chr21	10215977	10365976	150000	between_scaffolds	na
chr21	10647897	10697896	50000	between_scaffolds	na
chr21	11188130	11238129	50000	between_scaffolds	na
chr21	11238130	11288129	50000	heterochromatin	na
chr21	11288130	14288129	3000000	centromere	na
chr21	14288130	14338129	50000	between_scaffolds	na
chr21	33157036	33157055	20	unknown	inferred_from_sequence
chr21	33157380	33157389	10	unknown	inferred_from_sequence
chr21	40285945	40285954	10	unknown	inferred_from_sequence
chr21	42955560	43005559	50000	between_scaffolds	na
chr21	43226829	43227328	500	unknown	inferred_from_sequence
chr21	43249343	43250842	1500	unknown	inferred_from_sequence
chr21	44035895	44035904	10	unknown	inferred_from_sequence
chr21	44632665	44682664	50000	within_scaffold	clone_contig
chr21	44888041	44888050	10	unknown	inferred_from_sequence
chr21	48119896	48129895	10000	telomere	na
chr22	1	10000	10000	telomere	na
chr22	10001	13000000	12990000	short_arm	na
chr22	13000001	16000000	3000000	centromere	na
chr22	16000001	16050000	50000	between_scaffolds	na
chr22	16697851	16847850	150000	between_scaffolds	na
chr22	20509432	20609431	100000	between_scaffolds	na
chr22	50364778	50414777	50000	between_scaffolds	na
chr22	51244567	51294566	50000	between_scaffolds	na
chr22	51294567	51304566	10000	telomere	na
chrX	1	10000	10000	telomere	na
chrX	10001	60000	50000	between_scaffolds	na
chrX	94822	144821	50000	between_scaffolds	na
chrX	231385	281384	50000	between_scaffolds	na
chrX	1047558	1097557	50000	between_scaffolds	na
chrX	1134114	1184113	50000	between_scaffolds	na
chrX	1264235	1314234	50000	between_scaffolds	na
chrX	2068239	2118238	50000	between_scaffolds	na
chrX	7623883	7673882	50000	within_scaffold	clone_contig
chrX	10738675	10788674	50000	within_scaffold	clone_contig
chrX	37098257	37148256	50000	between_scaffolds	na
chrX	49242998	49292997	50000	between_scaffolds	na
chrX	49974174	50024173	50000	between_scaffolds	na
chrX	52395915	52445914	50000	between_scaffolds	na
chrX	58582013	58632012	50000	between_scaffolds	na
chrX	58632013	61632012	3000000	centromere	na
chrX	61632013	61682012	50000	between_scaffolds	na
chrX	76653693	76703692	50000	between_scaffolds	na
chrX	113517669	113567668	50000	between_scaffolds	na
chrX	115682291	115732290	50000	between_scaffolds	na
chrX	120013236	120063235	50000	within_scaffold	clone_contig
chrX	143507325	143557324	50000	between_scaffolds	na
chrX	148906425	148956424	50000	within_scaffold	clone_contig
chrX	149032063	149082062	50000	between_scaffolds	na
chrX	152277100	152327099	50000	within_scaffold	clone_contig
chrX	155260561	155270560	10000	telomere	na
chrY	1	10000	10000	telomere	na
chrY	44822	94821	50000	between_scaffolds	na
chrY	181385	231384	50000	between_scaffolds	na
chrY	997558	1047557	50000	between_scaffolds	na
chrY	1084114	1134113	50000	between_scaffolds	na
chrY	1214235	1264234	50000	between_scaffolds	na
chrY	2018239	2068238	50000	between_scaffolds	na
chrY	8914956	8964955	50000	between_scaffolds	na
chrY	9241323	9291322	50000	between_scaffolds	na
chrY	10104554	13104553	3000000	centromere	na
chrY	13143955	13193954	50000	between_scaffolds	na
chrY	13748579	13798578	50000	between_scaffolds	na
chrY	20143886	20193885	50000	within_scaffold	clone_contig
chrY	22369680	22419679	50000	within_scaffold	clone_contig
chrY	23901429	23951428	50000	between_scaffolds	na
chrY	28819362	58819361	30000000	heterochromatin	na
chrY	58917657	58967656	50000	between_scaffolds	na
chrY	59363567	59373566	10000	telomere	na
chrX	60001	2699520	2639520	pseudo_autosomal	na
chrX	154931044	155260560	329517	pseudo_autosomal	na
chrY	10001	2649520	2639520	pseudo_autosomal	na
chrY	59034050	59363566	329517	pseudo_autosomal	na
